摄像头编号 笼子编号 时段 变化点数
ch02 2-1 6 101398.0
ch02 2-2 6 138382.0
ch02 1-1 6 90024.0
ch02 2-1 6 105582.0
ch02 1-2 8 105689.0
ch02 2-1 8 98600.0
ch02 2-2 8 136190.0
ch02 1-1 11 57110.0
ch02 1-2 11 87597.0
ch02 2-1 11 56478.0
ch02 2-2 11 93232.0
ch02 1-1 11 7691.0
ch02 1-2 11 2570.0
ch02 2-1 11 2045.0
ch02 2-2 11 17488.0
ch02 1-1 12 50945.0
ch02 1-2 12 68788.0
ch02 2-1 12 70129.0
ch02 2-2 12 73475.0
ch02 1-1 12 48691.0
ch02 1-2 12 58834.0
ch02 2-1 12 71105.0
ch02 2-2 12 76381.0
ch02 1-1 13 44513.0
ch02 1-2 13 73575.0
ch02 2-1 13 71086.0
ch03 2-2 19 125122.0
ch02 2-1 11 95185.0
ch02 1-2 11 71852.0
ch02 1-1 11 69571.0
ch02 1-1 9 99907.0
ch02 1-2 9 167740.0
ch02 2-1 9 144258.0
ch02 2-2 9 213311.0
ch02 1-1 9 74563.0
ch02 1-2 9 129393.0
ch02 2-1 9 113244.0
ch02 2-2 9 151798.0
ch02 1-1 9 61283.0
ch02 1-2 4 130492.0
ch02 1-2 9 109147.0
ch02 2-2 9 136088.0
ch02 1-1 10 76550.0
ch02 1-2 10 95722.0
ch02 2-1 10 106256.0
ch02 2-2 10 124620.0
ch02 1-1 10 62900.0
ch02 1-2 10 108113.0
ch02 2-1 10 80277.0
ch02 2-2 10 133570.0
ch02 2-1 9 81637.0
ch02 1-1 4 94035.0
ch02 2-2 4 161588.0
ch02 2-1 4 93641.0
ch02 1-1 15 47994.0
ch02 2-2 15 50060.0
ch02 2-1 15 32150.0
ch02 1-2 15 47276.0
ch02 1-1 15 35631.0
ch02 2-2 15 37003.0
ch02 2-1 15 45783.0
ch02 1-2 15 45323.0
ch02 1-1 15 34737.0
ch02 2-2 14 42873.0
ch02 2-1 14 48861.0
ch02 1-2 14 64995.0
ch02 1-1 14 57418.0
ch02 2-2 14 91940.0
ch02 2-1 14 77403.0
ch02 1-2 14 112094.0
ch02 1-1 14 83264.0
ch02 2-2 13 126472.0
ch02 2-1 13 86083.0
ch02 1-2 15 54370.0
ch02 2-1 15 31922.0
ch02 2-2 15 30034.0
ch02 1-1 16 42892.0
ch02 1-2 20 110654.0
ch02 1-1 20 97681.0
ch02 1-2 19 100418.0
ch02 1-1 19 68866.0
ch02 1-2 19 96576.0
ch02 1-1 19 70420.0
ch02 1-2 19 76346.0
ch02 1-1 19 56420.0
ch02 1 18 95892.0
ch02 1-2 13 99237.0
ch02 2-2 17 75113.0
ch02 1-2 17 63932.0
ch02 1-1 17 53246.0
ch02 2-2 16 50457.0
ch02 2-1 16 54647.0
ch02 1-2 16 49042.0
ch02 1-1 16 32087.0
ch02 2-2 16 87909.0
ch02 2-1 16 68122.0
ch02 1-2 16 53206.0
ch02 2-1 17 67588.0
ch02 1-2 20 88089.0
ch02 1-1 13 62327.0
ch02 2-1 13 64201.0
ch02 2-2 2 124242.0
ch02 1-1 2 83236.0
ch02 1-2 2 105857.0
ch02 2-1 2 124909.0
ch02 2-2 2 138827.0
ch02 1-1 2 100905.0
ch02 1-2 2 128035.0
ch02 2-1 2 88995.0
ch02 2-2 2 136812.0
ch02 1-1 3 91126.0
ch02 1-2 3 121156.0
ch02 2-1 3 93704.0
ch02 2-2 3 137376.0
ch02 1-1 3 95744.0
ch02 1-2 3 129677.0
ch02 2-1 3 109863.0
ch02 2-2 3 137736.0
ch02 1-1 4 95212.0
ch02 1-2 4 131242.0
ch02 2-1 2 89903.0
ch02 1-2 2 121985.0
ch02 1-1 2 90923.0
ch02 2-2 1 950310.0
ch02 1-2 13 78102.0
ch02 1-1 0 76605.0
ch02 1-2 0 106654.0
ch02 2-1 0 88823.0
ch02 2-2 0 107679.0
ch02 1-1 0 86208.0
ch02 1-2 0 99519.0
ch02 2-1 0 108872.0
ch02 2-2 0 146914.0
ch02 2-2 13 84856.0
ch02 1-1 0 92848.0
ch02 2-1 0 95822.0
ch02 2-2 0 147352.0
ch02 1-1 1 93819.0
ch02 1-2 1 108688.0
ch02 2-1 1 105959.0
ch02 2-2 1 136911.0
ch02 1-1 1 90713.0
ch02 1-2 1 99036.0
ch02 2-1 1 104710.0
ch02 1-2 0 116403.0
ch02 2-2 13 96067.0
ch02 1-1 13 51178.0
ch01 2-1 15 158277.0
ch01 1-1 12 90671.0
ch01 1-2 12 65216.0
ch01 2-1 12 110132.0
ch01 1-1 13 69702.0
ch01 1-2 13 95062.0
ch01 2-1 13 88102.0
ch01 1-1 13 114746.0
ch01 1-2 12 141107.0
ch01 1-2 13 91604.0
ch01 1-1 14 153988.0
ch01 1-2 14 131749.0
ch01 2-1 14 156820.0
ch01 1-1 14 131942.0
ch01 1-2 14 104281.0
ch01 2-1 14 143541.0
ch01 1-1 14 136827.0
ch01 2-1 13 117520.0
ch01 1-2 14 96559.0
ch01 1-1 12 131754.0
ch01 1-2 12 119137.0
ch01 1-1 10 338633.0
ch01 1-2 10 212608.0
ch01 2-1 10 251148.0
ch01 1-1 10 180228.0
ch01 1-2 10 159549.0
ch01 2-1 10 180943.0
ch01 1-1 10 144684.0
ch01 2-1 12 129869.0
ch01 1-2 10 164532.0
ch01 1-1 11 96004.0
ch01 1-2 11 92756.0
ch01 2-1 11 116112.0
ch01 1-1 11 151869.0
ch01 1-2 11 141299.0
ch01 2-1 11 156927.0
ch01 1-1 12 128800.0
ch01 2-1 10 162613.0
ch01 2-1 10 138016.0
ch01 2-1 14 130100.0
ch01 1-2 15 58776.0
ch01 1 17 108658.0
ch01 1 18 207323.0
ch01 1 18 124883.0
ch01 1 19 160510.0
ch01 1 19 157109.0
ch01 1 19 175018.0
ch01 1 20 167870.0
ch01 2-1 17 76330.0
ch01 1 20 169848.0
ch01 1 21 158863.0
ch01 1 21 148821.0
ch01 1 22 160038.0
ch01 1 22 159307.0
ch01 1 23 156432.0
ch01 1-1 23 182945.0
ch01 1-1 24 111677.0
ch01 1 21 184528.0
ch01 1-1 15 93601.0
ch01 1-2 17 70325.0
ch01 2-1 17 221819.0
ch01 2-1 15 88398.0
ch01 1-1 15 120044.0
ch01 1-2 15 54207.0
ch01 1-1 15 133890.0
ch01 1-2 15 108325.0
ch01 2-1 15 143901.0
ch01 2-2 15 107889.0
ch01 1-1 17 118128.0
ch01 1-1 16 191969.0
ch01 2-1 16 179634.0
ch01 2-2 16 179026.0
ch01 1-1 16 123335.0
ch01 1-2 16 100818.0
ch01 2-1 16 151970.0
ch01 1-1 17 243632.0
ch01 1-2 17 111533.0
ch01 1-2 16 148739.0
ch01 1-2 10 73104.0
ch01 2-1 12 107831.0
ch01 2-1 9 147988.0
ch01 1-1 2 268238.0
ch01 1-2 2 196694.0
ch01 2-1 2 215313.0
ch01 1-1 3 211275.0
ch01 1-2 3 192426.0
ch01 2-1 3 172613.0
ch01 1-1 3 218782.0
ch01 2-1 2 213225.0
ch01 1-2 3 192545.0
ch01 1-1 3 217913.0
ch01 1-2 3 187951.0
ch01 2-1 3 233172.0
ch01 1-1 4 199535.0
ch01 1-2 4 202531.0
ch01 2-1 4 214331.0
ch01 1-1 4 211517.0
ch01 2-1 3 205205.0
ch01 1-2 2 177047.0
ch01 1-1 2 254303.0
ch01 1-1 10 114430.0
ch01 1-1 0 87777.0
ch01 1-2 0 75295.0
ch01 2-1 0 96931.0
ch01 1-1 0 132868.0
ch01 1-2 0 176128.0
ch01 2-1 0 211216.0
ch01 1-1 0 138719.0
ch01 1-2 0 212573.0
ch01 2-1 0 215306.0
ch01 1-1 1 220820.0
ch01 1-2 1 172669.0
ch01 2-1 1 210989.0
ch01 1-1 1 250595.0
ch01 1-2 1 185017.0
ch01 2-1 1 224987.0
ch01 1-1 1 245340.0
ch01 1-2 1 185400.0
ch01 1-2 4 165787.0
ch01 2-1 4 222246.0
ch01 2-1 1 209659.0
ch01 1-2 5 22.0
ch01 1-1 7 220137.0
ch01 1-2 7 139363.0
ch01 2-1 7 193818.0
ch01 1-1 8 168904.0
ch01 1-2 8 140550.0
ch01 2-1 8 161428.0
ch01 1-1 8 195584.0
ch01 2-1 8 136075.0
ch01 1-1 8 161507.0
ch01 1-2 8 160639.0
ch01 2-1 8 163204.0
ch01 1-1 9 145807.0
ch01 1-2 9 144146.0
ch01 2-1 9 155780.0
ch01 1-1 9 157560.0
ch01 1-2 9 158163.0
ch01 1-1 5 604.0
ch01 2-1 7 203865.0
ch01 1-2 7 162368.0
ch01 1-2 8 140800.0
ch01 2-1 6 22.0
ch01 2-1 5 27.0
ch01 1-1 7 207654.0
ch01 1-1 5 218838.0
ch01 1-2 5 175575.0
ch01 2-1 5 182260.0
ch01 1-2 5 189327.0
ch01 2-1 5 175406.0
ch01 1-1 6 198209.0
ch01 1-1 5 215682.0
ch01 1-1 6 251.0
ch01 2-1 6 180917.0
ch01 1-1 6 310.0
ch01 1-2 6 181.0
ch01 2-1 6 60.0
ch01 1-2 6 168467.0
ch01 1-2 6 16.0
ch03 1-1 8 79021.0
ch03 1-2 8 86159.0
ch03 2-1 8 93402.0
ch03 2-2 8 128277.0
ch03 2-1 9 85234.0
ch03 1-1 9 82358.0
ch03 1-2 9 79370.0
ch03 2-2 8 104356.0
ch03 2-2 9 87239.0
ch03 2-1 8 83540.0
ch03 2-2 7 123166.0
ch03 1-1 8 65668.0
ch03 2-2 7 138009.0
ch03 2-1 7 103062.0
ch03 1-2 7 88470.0
ch03 1-1 7 76391.0
ch03 2-1 7 95759.0
ch03 1-1 7 45170.0
ch03 1-1 9 50747.0
ch03 1-2 7 76787.0
ch03 1-2 8 94969.0
ch03 1-2 9 70776.0
ch03 1-1 11 59521.0
ch03 2-2 9 113090.0
ch03 2-2 11 98852.0
ch03 2-2 7 107068.0
ch03 2-1 11 73592.0
ch03 1-2 11 76397.0
ch03 2-2 11 85219.0
ch03 2-1 11 57172.0
ch03 1-2 11 62576.0
ch03 1-1 11 44532.0
ch03 2-2 10 94344.0
ch03 2-1 9 60368.0
ch03 2-1 10 67502.0
ch03 1-1 10 45670.0
ch03 2-2 10 82582.0
ch03 2-1 10 52287.0
ch03 1-2 10 65169.0
ch03 1-1 10 36274.0
ch03 2-2 9 95925.0
ch03 2-1 9 62593.0
ch03 1-2 9 70601.0
ch03 1-1 9 51499.0
ch03 1-2 10 60610.0
ch03 2-1 7 94870.0
ch03 2-1 13 30892.0
ch03 1-1 7 56861.0
ch03 2-1 4 103817.0
ch03 1-2 4 50434.0
ch03 1-1 4 79161.0
ch03 2-2 4 128280.0
ch03 2-1 4 112238.0
ch03 1-2 4 67084.0
ch03 1-1 4 90418.0
ch03 2-2 3 165524.0
ch03 2-1 3 132117.0
ch03 2-2 4 136390.0
